"Re: [問題] 有關「二手機」討論串,"
"[號外] 這裡有批手機好便宜呀~!? 敗家前請注意,"
"[心得] Nokia 6120 Classic,"
"Re: [問題] 討債集團的騷擾電話 Orz,"
"[心得] 最初步的K800i去客製化,"
"Re: [請益] 2G轉3G 需要45天轉換期？,"
"Re: [問題] 要帶手機去日本一年，請給我一點建議,"
"[問題] Nokia 6500s的快門鍵,"
"Re: [請益] 關於N73新版,"
"[問題] F408預設在手機記憶體的資料,"
"Re: [問題] 手機所謂的封閉系統和開放系統要怎分別?,"
"[問題] w910i螢幕裂開了!!!,"
"[問題] Ｎ82對決Ｅ66,"
"[心得] SonyEricsson C902,"
"[心得] 關於電話簿顯示來電的問題,"
"[心得] 讓Nokia 6120classic用macbook pro的網 …,"
"[心得] 亞太CDMA機王 FCH-639 購入使用心得,"
"Re: [問題] G-PLUS CT680  這台有人用過了嗎?心得꘠…,"
"[心得] 鱷魚　Nokia E70,"
"Re: [問題] 中華 MCool 疑問 ?,"
"[心得] N96 實機測試心得,"
"Re: [請益] 錄音長度不限制的手機,"
"Re: [請益] 錄音長度不限制的手機,"
"Re: [新聞] 日本KDDI來台 電信三雄終於遇上勁敵了,"
"[心得] 簡單便宜的3.5G seG502,"
"Re: [問題] htc touch diamond 接收藍牙檔案,"
"[問題] N82-VS-N85-VS-N79 三者大對抗，該哪隻??,"
"[心得] MOTO W231使用心得,"
"Re: [請益] 3G門號上網吃到飽,"
"Re: [請益] 3G門號上網吃到飽,"
"[心得] 手機 GPS 導航，不只是 GPS 導航而已,"
"[問題] N73背面相機跳來跳去,"
"Re: [問題] Nokia E66 V.S. HTC 鑽石機,"
"Re: [問題] w800i使用MSN (台哥大),"
"[討論] 有用nokia 6120c 來討論一下吧,"
"Re: [問題] N73記憶容量？,"
"Re: [問題] NOKIA6233的電池蓋,"
"Re: [問題] 6220c、5320、6210N,"
"[心得] SE  Z770i使用心得,"
"[閒聊] 關於Y拍上1元手機,"
"Re: [問題] SonyEricsson R306,"
"[請益] Samsung手機的暗碼,"
"[問題] 6120c沒辦法開doc檔,"
"[問題] zydas的USB無線網卡,"
"Re: [討論] 手機照相,"
"[請益] N82手機記憶體 與 記憶卡 轉換問題,"
"Re: [問題] 請問漫遊費問題?,"
"Re: [討論] SE刷機,"
"Re: [問題] 關於校園專案&NP的問題,"
"[心得] 912T toshiba 日系手機使用心得,"
"[心得] YAHOO購物中心買的ZN5,"
"[情報] 台灣手機市場出貨量下滑,"
"[情報] 微軟評Android：市場低估了開發成本,"
"[情報] iPhone 3.0 beta 3出爐,"
"[心得] moto(zn5) VS nokia s60 v3.2(5320xm),"
"[情報] AT&T推出FamilyMap，家長可用手機掌控ꐠ…,"
"[情報] 日本KDDI將推Android機上盒,"
"[情報] 華爾街日報iPhone版上線，新聞免費閱讀,"
"[心得] 威寶使用兩週心得,"
"[閒聊] 發現一隻3G無照相的手機了 ,"
"Re: [閒聊] 發現一隻3G無照相的手機了 ,"
"Re: [問題] 5800下載更新失敗？,"
"[心得] 亞太 KX218入手六小時,"
"[問題] S60 papago,"
"[情報] 中華電信：要同步引進三代iPhone、HTC  …,"
"Re: [問題] 請問 nokia 3120c 的藍芽有支援 A2DP 嗎?,"
"[問題] 威寶的折扣優惠是如何計算？,"
"Re: [問題] 威寶的折扣優惠是如何計算？,"
"[情報] 摩托羅拉否認開發Android機上盒,"
"[情報] KDDI將推SHARP太陽能防水手機,"
"[情報] 優雅外型 強悍規格 Samsung S8300,"
"Re: [問題] 我要帶X1出國，有沒有達人能夠教一下在 …,"
"[閒聊] 中華 大家講 vs 3G放心講,"
"[問題] 情侶辦哪家的門號好?,"
"Re: [問題] 情侶辦哪家的門號好?,"
"[心得] zn5刷X包,"
"[問題] 遠傳員工推薦方案第一年月租費半價,真ꨠ…,"
"[情報] 四網合一，搶得頭香,"
"[情報] HTC Touch Diamond2 500萬照片實拍分享,"
"[情報] 遠傳在台中提供WiMAX上網免費體驗,"
"[情報] T-Mobile賣出百萬支G1 Android手機,"
"[情報] Qualcomm新GHz級手機晶片卯上英特爾Atom,"
"[情報] Google產品搜尋開始支援Android及iPhone,"
"[情報] 與Orange合作，維基百科將有手機版,"
"[情報] AdMob：iPhone及Android侵蝕競爭對手市佔,"
"Re: [問題] K810i 來電無響鈴，和受潮有關？,"
"[問題] Sharp WX-T923該怎麼設定上網?,"
"[新聞] 宏達電下周在台發表第二代 Google 手機,"
"[問題] 5800 USB問題,"
"[閒聊] KC910 極限測試,"
4G 無線通訊   LTE vs WiMAX   dochi？
"[問題] 請問要怎麼看手機的標準配件?,"
"[轉錄][省錢] 威寶預付卡,"
"[問題] LG KM900 Arena ,"
"[閒聊] 找到一個flash的網址,"
"[問題] 5320專用螢幕保護貼,"
"[問題] N95 8G我不會設定成中文畫面啦！,"
"[情報] 能用iPhone上PTT了~,"
"[問題] papago的問題,"
"Re: [問題] 便宜的LG手機是為什麼,"
"[新聞] 吳東進上火線 力拚電信三雄,"
"[情報] 齊心協力，WiMAX營運商年底達成全台漫遊,"
"[情報] 全球一動鎖定9月在新竹提供WiMAX試用服務,"
"[情報] ABI：Q1全球手機出貨減11%，iPhone市佔 …,"
"Re: [問題] 情侶辦哪家的門號好?,"
"[新聞] 誤撥空號 遠傳電信竟收國際話費 ,"
"[問題] 5800總是出現無閘道回覆 囧,"
"[情報] Qualcomm、Broadcom達成8.91億美元和解,"
"[情報] CommunicAsia 2009於六月在新加坡開展,"
"[情報] BlackBerry支援新版Facebook功能,"
"[情報] 大同WiMAX服務澎湖開台，最低649元吃到飽,"
"[情報] 英國電信業者3 UK宣布不收Skype數據傳輸費,"
"[問題] 關於W705的使用方式,"
"[閒聊] 藍牙立體聲耳機(A2DP) 推廣,"
"Re: [問題] 請給我N79比N82貴的理由,超想開箱,"
"[問題] 國小小學生有必要拿手機嗎?,"
"[黑店] 台北市萬華區寶興街X號,"
"[問題] 5800格式化,"
"Re: [問題] 5800總是出現無閘道回覆 囧,"
"Re: [問題] 威寶在尖峰時刻會塞機嗎？,"
"[情報] Samsung Android手機六月上市,"
"[情報] Android 1.5 SDK開放下載,"
"[情報] 蘋果與Verizon展開iPhone銷售協商,"
"Re: [問題] 功成通訊--東區延吉店,"
"[心得] SE w890i 偽開箱文,"
"Re: [問題] 5800格式化,"
"Re: [問題] Nokia3120C,"
"[情報] N85斷裂門台灣免費維修了,"
"[情報] 遠傳第三季推出Android手機,"
"[情報] Verizon與微軟合作「粉紅」手機,"
"[情報] Verizon合作對象，謠言滿天飛,"
"[情報] 諾基亞小裁員，重新聚焦軟體下載服務,"
"[情報] 中文版Android手機準備上市！HTC Magic …,"
"[新聞] 遠傳電信私募新股 12% 中國移動出線投資,"
"[問題] 最便宜的3.5G手機？,"
"Re: [問題] np到威寶,"
"[問題] 內建RFID的手機,"
"Re: [問題] 內建RFID的手機,"
"Re: [心得] 3120c 收訊真的很好！,"
"[轉錄][新聞] HTC Magic首支中文Android手機台 …,"
"[閒聊] Eliya   I502 / I903,"
"[情報] 跨足大陸電信市場，遠傳將與中國移動合 …,"
"[情報] 摩托羅拉第一款Android手機已經就緒,"
"[情報] 美國電信業者冷落Nokia的Ovi Store,"
"[心得] 威寶(東訊)的維修服務真的很差,"
"[閒聊] 威寶門市學生專案,"
"[情報] Mio要推Android汽車導航裝置,"
"[情報] 手機應用程式2014年產值超過250億美元,"
"[情報] 蘋果有意自行開發手機晶片,"
"Re: [問題] NOKIA5800的通話錄音功能,"
"Re: [問題] 聽說中華電訊有加99塊撥打特定門號免費,"
"Re: [閒聊] 威寶門市學生專案,"
"[心得] 最近剛辦完NP以及門號+手機大轉換心得文,"
"Re: [請益] w760i,"
"[問題] SH03A到底可不可以放MP3?,"
"[心得] 遠傳長青價大雙網765續約之戲劇性的一天,"
"[情報] HTC執行長周永明談Android手機：不怕競爭,"
"[情報] 宏達電HTC Magic來台，空機價2.1萬元,"
"[情報] GSMA來台推廣HSPA行動寬頻普及,"
"[店家] 台中市英才路上服務品質頗差的X強手機ꨠ…,"
"[情報] J.D. Power報告：客戶滿意度 iPhone第ꐠ…,"
"[情報] IDC：今年Q1全球手機出貨衰退15.8%,"
"Re: [問題] 台灣大哥大黑我電話費,"
"Re: [請益] NOKIA 3120C與Samsung L708哪隻比較好?,"
"[心得] 再見...台灣大哥大,"
"[情報] Google phone可以上BBS了,"
"[情報] 宏達電HTC Magic實機展示（圖多）,"
"Re: [心得] 再見...台灣大哥大,"
"Re: [心得] 再見...台灣大哥大,"
"[心得] 威寶在房間收不到，用藍芽,"
"[心得] 今天面交手機被搶,"
"[閒聊] 中華電信98上校園M化優惠方案的比較,"
"Re: [問題] 急!請問這種電話詢問正常嗎?,"
"[心得] Sony Ericsson W705開箱心得文,"
"Re: [抱怨] 價錢不清 功成通訊--東區延吉店,"
"[心得] 手機終於可以上批踢踢 (BBS) 了！,"
"[心得] 中華電信校園方案分享(一些問題回答),"
"[情報] 要問中華電信的問題,"
"Re: [問題] 延長手機響鈴時間,"
sony w508
"[心得] 中華電信iPhone 3GS 購機方案小比較,"
"[心得] 關於網拍的高單價手機可以低賣的手法,"
"[心得] W980使用心得,"
"Re: [問題] 莫名奇妙的續約.....,"
"Re: [問題] 莫名奇妙的續約.....,"
"[心得] 中華3.5G吃到飽+大家講589=$399。(詳細版),"
"[心得] 網拍二手機購買交戰守則 ,"
"[閒聊] 惡劣的！台中大雅的威寶客服人員,"
"[轉錄][抱怨] 台北 樹林鎮前街 聯強電信通訊行,"
"[轉錄][抱怨] 台北 亞太電信 莒光門市 傳送廣꜠…,"
"[問題] 中華校園專案以還有嗎?還是隨時辦都有?,"
"[問題] 學生辦理威寶門號,"
"[心得] 螢幕不在保固範圍？小市民的反擊成功,"
"[閒聊] 關於置底文的補充,"
"[心得] 這就是威寶電信的服務,"
"Re: [心得] 這就是威寶電信的服務,"
"[心得] nokia 5800 n79 n85 使用感想,"
"[心得] 用威寶上網的要注意,"
"[心得] Samsung M8910 廣角照相手機試玩,"
"[心得] 購得M10,"
"Re: [心得] 威寶的客服令人無言,"
"[情報] 想知道各家電信業者的訊號品質?,"
"[情報] 中華電信99年校園專案手機價格更新-990305,"
"[心得] 古亭地標網通+購買x6心得,"
"[心得],"
"[心得] Garmin-asus M10~ 剛買的心得,"
"[心得] NOKIA X6試用心得,"
"[心得] okwap c910 初上手使用心得,"
以刪除
"Re: [情報] 威寶,"
"[情報] NCC網站 查地區收訊,"
"Re: [情報] 中華電信 HTC Desire 超值方案,"
"[心得] 遇到這種通信行 <辰揚通信>,"
"Re: [情報] 中華電信 HTC Desire 超值方案,"
"[問卦] 有沒有電信客服 話術的八卦,"
"[心得] 台北板上推薦的通訊行,"
"Re: [問題] 大雨把我的手機給殺死了,"
"[心得] NOKIA N900體驗試玩,"
"Re: [問題] 手機BBS的問題  急....我快哭了,"
"[分享] SonyEricsson Aino 大螢幕滑蓋娛樂機,"
"[心得] samsung s8500使用心得,"
"Re: [問題] 黑莓機 搭配遠傳,"
"Re: [心得] 辦威寶0元專案 我的心得(整理排板後),"
"[心得] SAMSUNG Galaxy S i9000體驗試玩,"
"[協尋] 有鄉民或親友們8/1號有去劍湖山的嗎？,"
"Re: [請益] Acer liquid vs samsung i5700,"
"[問題] 為什麼HTC Desire不能用藍牙,"
"[遺失] 新竹LG KU380白色滑蓋手機,"
"[心得] 當HTC Desire上Android 2.2 Froyo,"
"[心得] MOTO XT720數天後&Android心得及實用程 …,"
"[問題] 請問威寶+三星手機 S5500是否會訊號不穩? ,"
"[問題] 遺失nokia6120c白色手機,"
"[心得] 從Nokia N78到acer Liquid,"
"Re: [心得] 真的以為用蘋果就很潮嗎...,"
"Re: [心得] iPhone4 vs Desire,"
"[請益] 請問有適合、方便各類文書處理的智慧手 …,"
"Re: [請益] 請問有適合、方便各類文書處理的智慧手 …,"
"Re: [問題] i9000的價格,"
"Re: [閒聊] 其實N8賣的也很好,"
"[心得] 智慧型手機購入心得(主要是DHD跟Z),"
"[心得] HTC Wildfire 使用心得,"
"[心得] 親眼目睹 i dont care,"
"Re: [問題] 萬年不變的HTC跟IPHONE比較= =......,"
"Re: [問題]HTC  DESIRE玩遊戲OK嗎?,"
"Re: [問題]HTC  DESIRE玩遊戲OK嗎?,"
"[討論] 關於SE的X10,"
"Re: [問題] 快說服我吧,"
"[問題] Nokia5800 可以安裝31sms嗎?,"
"Re: [問題] N8的MSN及BBS軟體,"
"[討論] Nokia 巨人搖搖欲墜,"
"[問題] desireHD, i9000, N8..很多選擇,"
"[請益] 威寶現在還有網外30分鐘的專案嗎? ,"
"Re: [問題] iphone 與 HTC,"
"[問卷] 3/28 逢甲大學 閱讀電子書行為意圖研究 …,"
"[討論] LG內戰!! optimus 3D vs optimus 2X,"
"[閒聊] 不懂HTC店員講這種話的心態？,"
"[討論] 遠傳DESIRE Z 398+775,"
"Re: [請益] 萬元手機整理：徵求心得,"
"Re: [問題] HTC的選擇,"
"[問題] 新機保固三個月?,"
"Re: [問題] 新機保固三個月?,"
"[建議] 三大OS特性簡述，智慧型手機入門者適用,"
"Re: [建議] 三大OS特性簡述，智慧型手機入門者適用,"
"Re: [建議] 三大OS特性簡述，智慧型手機入門者適用,"
"[情報],"
"Re: [情報] HTC新機王One X出包！？螢幕出現白光閃爍,"
"Re: [情報] SⅢ 4.8吋屏幕背後不能說的祕密,"
"[心得] OneX, S3, XS 夜晚亂拍 (Dropbox爆流量 orz),"
"[心得] 從OneX到S3,"
"[心得] Asus Padfone 兩週使用心得,"
"Re: [請益] HTC有哪幾隻其實是硬體差不多一樣的.....,"
"[請益] 6/29 Myst夜店遺失samsung note白,"
"Re: [請益] 去通訊行辦原門號續約購機的注意之處,"
"Re: [請益] 1萬元以下智慧型手機選擇~,"
"Re: [問題] 沒有 3G 就沒有 GPS 嗎？,"
"Re: [情報]Samsung出主打衛星定位的中階手機 ,"
"[分享] LG Opitmus LTE2 - F160L,"
"[心得] U品機究竟如何辨別？,"
"[心得] Android to WindowsPhone 初體驗,"
"Re: [問題]三隻手機的抉擇，HTC1X&GS3&XperiaS ,"
"Re: [請益] 4g在美國或台灣,"
"[心得] SONY ion LT28i使用心得,"
"[心得] arc s 換 xperia p 一週心得,"
"Re: [問題] 日本買手機..,"
"[心得] Galaxy Ace 2 Vs. Xperia P 使用心得,"
"Re: [討論] Google地圖很變態!!!!!,"
"[心得] NOKIA 100/101,"
"[問題] 目前三種智慧型手機顯示器比較,"
"[心得] 中華591學生專案辦Arc S,"
"Re: [情報] iPhone 5三天銷破5百萬支,"
"Re: [請益] 遠傳約滿，退租或是轉讓?,"
"[心得] note 2入手一天微心得。,"
"[心得] NOTE II 不專業(簡單)開箱/心得/閒聊,"
"Re: [問題] np進中華送的通話費,"
"[情報] 客製版One X改通路版,"
"[心得] PF2使用心得(無附圖),"
"Re: [請益] 如何好好善用智慧型手機的優點?,"
"Re: [心得] 我被偷續手機約,"
"Re: [請益] 該怎麼辦......,"
"Re: [新聞] 挺hTC 王雪紅：誰當老大難說,"
"Fw: [新聞] 牢記IMEI碼 追手機不難,"
"[討論] Note2 驗機 重點整理,"
"Re: [問題] 手機照相的品質~螢幕尺寸,"
"[心得] padfone2簡易心得與onex,TX,note2比較,"
"Re: [心得] pf2 購買一週,"
"[心得] 淺談從iOS跳到Android的心得,"
"Re: [請益] Xperia P、Samsung S2、 Advance選擇 ,"
"[號外] 這裡有批手機好便宜呀！ 手機板 Q&A,"
"Re: [心得] 我被偷續手機約,"
"[心得] hTC手機的WISPr功能,"
"[心得] 智慧型手機心得與NOTE2開箱,"
"[心得] NOTE II 幾個貼心內建小技巧 簡單介紹,"
"Re: [心得] hTC手機的WISPr功能,"
"[閒聊] 台灣大哥大真是有夠""主動"","
"Re: [閒聊] 台灣大哥大真是有夠""主動"","
"Re: [問題] 請推薦通話密錄功能方便的手機,"
"[心得] ONE X與SS XL更新後的雜感...,"
"Re: [閒聊] 台灣大哥大真是有夠""主動"","
"Re: [閒聊] 台灣大哥大真是有夠""主動"","
"[心得] TWM Amazing A2簡單心得,"
"Re: [閒聊] 7-11上網吃到飽,"
"[心得] 多面相談hTC 硬體篇,"
"[心得] 睡不著測色溫與亮度,"
"Re: [情報] Samsung TAB2 7.0 P3100 可更新4.1,"
"[心得] WP8手機，HTC 8s初略心得,"
"Fw: [討論] 為何WP7比Android還順? 從設計概念說起,"
"Fw: [討論] 為何WP7比Android還順? 從設計概念說起,"
"Re: [心得] WP8手機，HTC 8s初略心得,"
"[心得] HTC J使用兩個月回顧,"
"Re: [問題] 台灣大哥大 vs 中華電信,"
"[問題] 怎麼買比較划算NOTE2,"
"[閒聊] 我用過的智慧型手機....,"
"[問題]請問中華月租33方案轉平板199,"
"Re: [閒聊] 我用過的智慧型手機....,"
"[討論] 我用過的智慧型手機...,"
"[閒聊] 我用過的智慧型手機....,"
"Re: [問題] iPad mini or Nexus 7,"
"Re: [問題] iPad mini or Nexus 7,"
"Re: [問題] iPad mini or Nexus 7,"
"[閒聊] 遠傳電信傷害老客戶的心,"
"Re: [閒聊] 遠傳電信傷害老客戶的心,"
"Re: [閒聊] 遠傳電信傷害老客戶的心,"
"Re: [閒聊] 我用過的智慧型手機....,"
"Re: [閒聊] 遠傳電信傷害老客戶的心,"
"[心得] 中華群星同樂會+紅蝴蝶試用心得,"
"[心得] 實際操作蝴蝶機後的一點感想與建議,"
"[心得] 小7np中華（附小7客服的奇異舉動XD）,"
"[心得] One SV簡易心得,"
"Re: [閒聊] 遠傳電信傷害老客戶的心,"
"[閒聊] Lumia 900 AT&T解鎖(失敗),"
"[心得] Xperia P 使用心得,"
"[閒聊] 蝴蝶機到貨情報，請用這篇推文,"
"[心得] 蝴蝶機開箱（上）,"
"[心得] 末日前補到紅色亞美蝶(含中華優惠1000元),"
"[心得] 黑蝴蝶微心得,"
"[心得] 紅蝴蝶微心得,"
"[心得] 黑蝴蝶微心得  續集,"
"[心得] 蝴蝶機開箱（下）,"
"[心得] 值得推薦的智慧型手機,"
"Fw: [WP8 ] HTC 8s 開箱,"
"[心得] 白蝴蝶微開箱(?),"
"[心得] 挑戰iphone5神話與S3傳聞夜拍爛的主觀評測,"
